file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,"borrowBook/2[java.lang.String,java.lang.String]",false,24,3,5,1,4,4,5,10,2,2,2,5,1,1,0,2,0,0,0,0,2,0,1,0,0,0,11,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,Library/0,true,11,2,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Library.java,com.Library,getAllMembers/0,false,61,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getId/0,false,18,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getEmail/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getBorrowedBooks/0,false,30,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,borrowBook/1[com.Book],false,34,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,getName/0,false,22,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,returnBook/1[com.Book],false,38,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\Tekprog\Pertemuan 7\Tugas Praktikum 7\src\com\Member.java,com.Member,"Member/3[java.lang.String,java.lang.String,java.lang.String]",true,11,1,1,1,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,0,false
